Word,Positive,Negative
abandon,0,1
abandoned,0,1
abandonment,0,1
abrupt,0,1
absence,0,1
abuse,0,1
accomplish,1,0
accomplishment,1,0
accusation,0,1
accused,0,1
achieve,1,0
achieved,1,0
achievement,1,0
achievements,1,0
advantage,1,0
advantages,1,0
adverse,0,1
adversely,0,1
adversity,0,1
afflict,0,1
aggravate,0,1
aggression,0,1
aid,1,0
alarm,0,1
allegations,0,1
amazing,1,0
anger,0,1
anguish,0,1
annoy,0,1
anxiety,0,1
anxious,0,1
appreciate,1,0
appreciation,1,0
apprehension,0,1
approval,1,0
assault,0,1
assist,1,0
attack,0,1
attain,1,0
attained,1,0
award,1,0
bad,0,1
ban,0,1
bankrupt,0,1
bankruptcy,0,1
barrier,0,1
bearish,0,1
beneficial,1,0
beneficially,1,0
benefit,1,0
benefited,1,0
best,1,0
better,1,0
blame,0,1
bleak,0,1
block,0,1
board,0,1
bold,1,0
breach,0,1
brilliant,1,0
broken,0,1
brutal,0,1
build,1,0
burden,0,1
cancel,0,1
cancellation,0,1
capital,0,1
capitalization,0,1
capitalize,0,1
catastrophe,0,1
cease,0,1
ceased,0,1
celebrate,1,0
challenge,0,1
challenging,0,1
champion,1,0
charitable,1,0
claim,0,1
claims,0,1
clarity,1,0
clear,1,0
collapse,0,1
commitment,1,0
competent,1,0
complaint,0,1
complaints,0,1
complex,0,1
complexity,0,1
concern,0,1
concerns,0,1
confident,1,0
conflict,0,1
confrontation,0,1
confusion,0,1
congratulate,1,0
constrain,0,1
constraint,0,1
constraints,0,1
contribute,1,0
cost,0,1
costs,0,1
creative,1,0
crisis,0,1
critical,0,1
cutback,0,1
damage,0,1
damages,0,1
danger,0,1
dangerous,0,1
dead,0,1
decay,0,1
decline,0,1
declined,0,1
declines,0,1
declining,0,1
decrease,0,1
decreased,0,1
default,0,1
defaulted,0,1
defaults,0,1
defeat,0,1
defect,0,1
deficit,0,1
deficits,0,1
delay,0,1
delinquency,0,1
delinquent,0,1
deliver,1,0
denial,0,1
deny,0,1
deplete,0,1
depreciation,0,1
destroy,0,1
deteriorate,0,1
difficult,0,1
difficulties,0,1
difficulty,0,1
disaster,0,1
discontinuation,0,1
discontinue,0,1
dispute,0,1
disputed,0,1
distress,0,1
distrust,0,1
doubt,0,1
doubtful,0,1
downgrade,0,1
downgraded,0,1
downturn,0,1
drop,0,1
effective,1,0
effectively,1,0
efficiencies,1,0
efficiency,1,0
efficient,1,0
efficiently,1,0
elevated,1,0
eliminate,0,1
emergency,0,1
enable,1,0
enhance,1,0
enhanced,1,0
error,0,1
errors,0,1
excellent,1,0
exceptional,1,0
expense,0,1
expenses,0,1
expensive,0,1
expertise,1,0
exploitation,0,1
fail,0,1
failed,0,1
failure,0,1
failures,0,1
fair,1,0
fallen,0,1
false,0,1
favorable,1,0
favorably,1,0
fear,0,1
fine,0,1
fines,0,1
fire,0,1
flourish,1,0
foreign,0,1
forfeit,0,1
forward,1,0
fraud,0,1
fraudulent,0,1
free,1,0
freeze,0,1
friendly,1,0
frustration,0,1
fulfill,1,0
gain,1,0
gained,1,0
gains,1,0
genuine,1,0
good,1,0
growth,1,0
guilt,0,1
halt,0,1
happy,1,0
harm,0,1
harmful,0,1
healthy,1,0
helpful,1,0
honest,1,0
hostile,0,1
hurt,0,1
ideal,1,0
impair,0,1
impaired,0,1
impairment,0,1
impairments,0,1
improve,1,0
improved,1,0
improvement,1,0
improvements,1,0
inability,0,1
inadequate,0,1
incident,0,1
increase,1,0
increased,1,0
increasing,1,0
inefficiency,0,1
inferior,0,1
initiative,1,0
innovative,1,0
insolvency,0,1
insolvent,0,1
inspire,1,0
insufficient,0,1
integrity,1,0
interference,0,1
investigation,0,1
jeopardize,0,1
lack,0,1
lawsuit,0,1
lawsuits,0,1
layoff,0,1
layoffs,0,1
leader,1,0
leading,1,0
leverage,1,0
liabilities,0,1
liability,0,1
limitation,0,1
limited,0,1
litigate,0,1
litigation,0,1
loss,0,1
losses,0,1
lower,0,1
loyalty,1,0
malfunction,0,1
merit,1,0
misconduct,0,1
mismanagement,0,1
motivated,1,0
negative,0,1
negatively,0,1
negligence,0,1
noble,1,0
noncompliance,0,1
obstacle,0,1
obstruction,0,1
opportunities,1,0
opportunity,1,0
oppose,0,1
opposition,0,1
optimistic,1,0
outstanding,1,0
pain,0,1
panic,0,1
penalties,0,1
penalty,0,1
perfect,1,0
performance,1,0
peril,0,1
poor,0,1
poorly,0,1
positive,1,0
positively,1,0
powerful,1,0
prevent,0,1
problem,0,1
problems,0,1
profitable,1,0
profitably,1,0
progress,1,0
promote,1,0
prosper,1,0
prosperous,1,0
proud,1,0
punish,0,1
quality,1,0
reach,1,0
recall,0,1
record,1,0
refusal,0,1
regulatory,0,1
reject,0,1
reliable,1,0
resilient,1,0
resistance,0,1
restated,0,1
restatement,0,1
restrict,0,1
restriction,0,1
restructuring,0,1
reward,1,0
rich,1,0
right,1,0
risk,0,1
risks,0,1
robust,1,0
ruined,0,1
safe,1,0
satisfied,1,0
service,0,1
services,0,1
shortage,0,1
shortfall,0,1
significant,1,0
skilled,1,0
slow,0,1
solid,1,0
sound,1,0
stable,1,0
stop,0,1
strength,1,0
strengths,1,0
strong,1,0
stronger,1,0
strongest,1,0
struggle,0,1
succeed,1,0
success,1,0
successes,1,0
successful,1,0
successfully,1,0
suffer,0,1
superior,1,0
suppress,0,1
surpassed,1,0
suspend,0,1
sustainable,1,0
tax,0,1
taxes,0,1
teamwork,1,0
terminated,0,1
termination,0,1
threat,0,1
threats,0,1
troubled,0,1
trust,1,0
unable,0,1
uncertain,0,1
uncertainty,0,1
unfavorable,0,1
unstable,0,1
valuable,1,0
value,1,0
volatile,0,1
volatility,0,1
vulnerability,0,1
waste,0,1
weak,0,1
weakness,0,1
weaknesses,0,1
win,1,0
wisdom,1,0
worse,0,1
worst,0,1
worthy,1,0
writedown,0,1
writeoff,0,1
wrongful,0,1
