Word,Positive,Negative,Uncertainty
abandon,0,1,0
abandoned,0,1,0
abandoning,0,1,0
abandonment,0,1,0
abandonments,0,1,0
abandons,0,1,0
abdicated,0,1,0
abdicates,0,1,0
abdicating,0,1,0
abdication,0,1,0
abdications,0,1,0
aberrant,0,1,0
aberration,0,1,0
aberrational,0,1,0
aberrations,0,1,0
abetting,0,1,0
abeyance,0,0,1
abeyances,0,0,1
able,1,0,0
abnormal,0,1,0
abnormalities,0,1,0
abnormality,0,1,0
abnormally,0,1,0
abolish,0,1,0
abolished,0,1,0
abolishes,0,1,0
abolishing,0,1,0
abrogate,0,1,0
abrogated,0,1,0
abrogates,0,1,0
abrogating,0,1,0
abrogation,0,1,0
abrogations,0,1,0
abrupt,0,1,0
abruptly,0,1,0
abruptness,0,1,0
absence,0,1,0
absences,0,1,0
absenteeism,0,1,0
abundance,1,0,0
abundant,1,0,0
abuse,0,1,0
abused,0,1,0
abuses,0,1,0
abusing,0,1,0
abusive,0,1,0
abusively,0,1,0
abusiveness,0,1,0
accident,0,1,0
accidental,0,1,0
accidentally,0,1,0
accidents,0,1,0
acclaimed,1,0,0
accomplish,1,0,0
accomplished,1,0,0
accomplishes,1,0,0
accomplishing,1,0,0
accomplishment,1,0,0
accomplishments,1,0,0
accusation,0,1,0
accusations,0,1,0
accuse,0,1,0
accused,0,1,0
accuses,0,1,0
accusing,0,1,0
achieve,1,0,0
achieved,1,0,0
achievement,1,0,0
achievements,1,0,0
achieves,1,0,0
achieving,1,0,0
acquiesce,0,1,0
acquiesced,0,1,0
acquiesces,0,1,0
acquiescing,0,1,0
acquit,0,1,0
acquits,0,1,0
acquittal,0,1,0
acquittals,0,1,0
acquitted,0,1,0
acquitting,0,1,0
adequately,1,0,0
adulterate,0,1,0
adulterated,0,1,0
adulterating,0,1,0
adulteration,0,1,0
adulterations,0,1,0
advancement,1,0,0
advancements,1,0,0
advances,1,0,0
advancing,1,0,0
advantage,1,0,0
advantaged,1,0,0
advantageous,1,0,0
advantageously,1,0,0
advantages,1,0,0
adversarial,0,1,0
adversaries,0,1,0
adversary,0,1,0
adverse,0,1,0
adversely,0,1,0
adversities,0,1,0
adversity,0,1,0
aftermath,0,1,0
aftermaths,0,1,0
against,0,1,0
aggravate,0,1,0
aggravated,0,1,0
aggravates,0,1,0
aggravating,0,1,0
aggravation,0,1,0
aggravations,0,1,0
alerted,0,1,0
alerting,0,1,0
alienate,0,1,0
alienated,0,1,0
alienates,0,1,0
alienating,0,1,0
alienation,0,1,0
alienations,0,1,0
allegation,0,1,0
allegations,0,1,0
allege,0,1,0
alleged,0,1,0
allegedly,0,1,0
alleges,0,1,0
alleging,0,1,0
alliance,1,0,0
alliances,1,0,0
almost,0,0,1
alteration,0,0,1
alterations,0,0,1
ambiguities,0,0,1
ambiguity,0,0,1
ambiguous,0,0,1
annoy,0,1,0
annoyance,0,1,0
annoyances,0,1,0
annoyed,0,1,0
annoying,0,1,0
annoys,0,1,0
annul,0,1,0
annulled,0,1,0
annulling,0,1,0
annulment,0,1,0
annulments,0,1,0
annuls,0,1,0
anomalies,0,1,1
anomalous,0,1,1
anomalously,0,1,1
anomaly,0,1,1
anticipate,0,0,1
anticipated,0,0,1
anticipates,0,0,1
anticipating,0,0,1
anticipation,0,0,1
anticipations,0,0,1
anticompetitive,0,1,0
antitrust,0,1,0
apparent,0,0,1
apparently,0,0,1
appear,0,0,1
appeared,0,0,1
appearing,0,0,1
appears,0,0,1
approximate,0,0,1
approximated,0,0,1
approximately,0,0,1
approximates,0,0,1
approximating,0,0,1
approximation,0,0,1
approximations,0,0,1
arbitrarily,0,0,1
arbitrariness,0,0,1
arbitrary,0,0,1
argue,0,1,0
argued,0,1,0
arguing,0,1,0
argument,0,1,0
argumentative,0,1,0
